student_id,date,activity_type,duration_minutes
STU0001,2024-01-03,login,8
STU0001,2024-03-08,login,22
STU0001,2024-01-01,quiz_attempt,6
STU0001,2024-02-15,submission,25
STU0001,2024-02-26,quiz_attempt,6
STU0001,2024-05-29,submission,2
STU0001,2024-03-29,login,6
STU0001,2024-03-06,quiz_attempt,11
STU0001,2024-02-13,login,27
STU0001,2024-05-15,quiz_attempt,13
STU0001,2024-01-03,forum_post,34
STU0001,2024-05-10,login,20
STU0001,2024-01-18,submission,61
STU0001,2024-05-21,quiz_attempt,2
STU0001,2024-04-05,submission,23
STU0001,2024-02-23,login,15
STU0001,2024-03-12,video_watched,10
STU0001,2024-05-15,video_watched,1
STU0001,2024-02-08,video_watched,2
STU0001,2024-04-02,submission,4
STU0001,2024-05-16,submission,6
STU0001,2024-01-03,video_watched,22
STU0001,2024-01-11,quiz_attempt,1
STU0001,2024-03-19,login,47
STU0001,2024-03-27,submission,1
STU0001,2024-05-14,login,4
STU0001,2024-01-17,quiz_attempt,8
STU0001,2024-05-28,submission,2
STU0001,2024-04-30,submission,5
STU0001,2024-02-26,login,1
STU0001,2024-05-16,login,30
STU0001,2024-05-14,submission,20
STU0001,2024-03-19,login,68
STU0001,2024-01-08,video_watched,23
STU0001,2024-01-16,quiz_attempt,69
STU0001,2024-05-03,submission,14
STU0001,2024-04-10,submission,35
STU0001,2024-02-02,login,52
STU0001,2024-05-08,quiz_attempt,1
STU0001,2024-01-08,quiz_attempt,23
STU0001,2024-02-16,forum_post,18
STU0001,2024-05-08,submission,93
STU0001,2024-05-17,video_watched,13
STU0001,2024-01-24,submission,1
STU0001,2024-04-01,login,23
STU0001,2024-04-12,quiz_attempt,31
STU0001,2024-02-06,video_watched,24
STU0001,2024-05-16,login,6
STU0001,2024-05-27,login,10
STU0001,2024-01-16,forum_post,14
STU0001,2024-02-14,login,1
STU0001,2024-01-24,video_watched,5
STU0001,2024-03-19,login,38
STU0001,2024-04-01,login,1
STU0001,2024-04-04,submission,3
STU0001,2024-04-04,quiz_attempt,3
STU0001,2024-02-16,video_watched,1
STU0001,2024-03-29,forum_post,25
STU0001,2024-03-01,login,1
STU0001,2024-04-05,submission,47
STU0001,2024-01-03,login,14
STU0001,2024-05-06,submission,22
STU0001,2024-03-04,submission,3
STU0001,2024-03-18,submission,24
STU0001,2024-03-14,forum_post,6
STU0001,2024-05-21,login,24
STU0001,2024-03-15,quiz_attempt,12
STU0001,2024-04-16,quiz_attempt,1
STU0001,2024-02-08,video_watched,31
STU0002,2024-01-16,quiz_attempt,2
STU0002,2024-05-15,login,63
STU0002,2024-04-11,quiz_attempt,11
STU0002,2024-05-21,login,42
STU0002,2024-04-22,login,4
STU0002,2024-03-28,submission,92
STU0002,2024-04-08,login,11
STU0002,2024-03-26,submission,3
STU0002,2024-04-23,login,58
STU0002,2024-04-24,submission,26
STU0002,2024-04-01,login,4
STU0002,2024-01-17,login,13
STU0002,2024-05-23,quiz_attempt,33
STU0002,2024-03-21,submission,6
STU0002,2024-02-05,submission,34
STU0002,2024-03-04,quiz_attempt,42
STU0002,2024-04-01,submission,1
STU0002,2024-01-03,video_watched,3
STU0002,2024-01-04,login,35
STU0002,2024-02-22,quiz_attempt,88
STU0002,2024-05-27,login,2
STU0002,2024-02-05,quiz_attempt,34
STU0002,2024-03-27,submission,20
STU0002,2024-05-08,quiz_attempt,2
STU0002,2024-01-17,quiz_attempt,31
STU0002,2024-04-23,submission,78
STU0002,2024-03-14,login,45
STU0002,2024-02-28,forum_post,6
STU0002,2024-01-10,quiz_attempt,16
STU0002,2024-03-12,video_watched,7
STU0002,2024-02-20,video_watched,1
STU0002,2024-04-17,quiz_attempt,39
STU0002,2024-01-26,quiz_attempt,24
STU0002,2024-04-29,quiz_attempt,65
STU0002,2024-04-16,quiz_attempt,6
STU0002,2024-02-23,video_watched,2
STU0002,2024-02-23,submission,14
STU0002,2024-03-05,submission,25
STU0002,2024-04-17,quiz_attempt,6
STU0002,2024-03-14,forum_post,15
STU0002,2024-02-01,submission,1
STU0002,2024-03-28,submission,33
STU0002,2024-02-14,quiz_attempt,10
STU0002,2024-05-29,submission,10
STU0002,2024-05-13,video_watched,27
STU0002,2024-05-21,quiz_attempt,44
STU0002,2024-01-19,forum_post,9
STU0002,2024-01-31,quiz_attempt,29
STU0002,2024-04-19,submission,31
STU0002,2024-05-10,login,15
STU0002,2024-04-25,login,28
STU0002,2024-01-02,video_watched,7
STU0002,2024-01-15,video_watched,26
STU0002,2024-01-30,video_watched,4
STU0002,2024-05-16,video_watched,5
STU0002,2024-01-04,login,54
STU0002,2024-03-08,quiz_attempt,8
STU0002,2024-05-14,submission,58
STU0002,2024-03-11,submission,4
STU0002,2024-03-01,login,44
STU0002,2024-02-12,video_watched,6
STU0002,2024-03-01,login,32
STU0002,2024-03-12,submission,11
STU0002,2024-03-26,video_watched,78
STU0002,2024-05-21,forum_post,32
STU0002,2024-02-19,quiz_attempt,27
STU0002,2024-01-30,forum_post,120
STU0002,2024-05-09,video_watched,53
STU0002,2024-05-06,login,40
STU0002,2024-02-09,quiz_attempt,13
STU0002,2024-04-23,video_watched,43
STU0002,2024-03-08,submission,25
STU0002,2024-05-10,forum_post,11
STU0002,2024-05-01,login,3
STU0002,2024-03-25,submission,33
STU0002,2024-03-25,login,17
STU0002,2024-04-08,login,5
STU0002,2024-01-04,video_watched,1
STU0002,2024-03-22,login,5
STU0002,2024-01-30,login,11
STU0002,2024-02-15,login,2
STU0002,2024-02-09,submission,4
STU0002,2024-01-31,login,36
STU0003,2024-05-21,submission,1
STU0003,2024-05-10,submission,24
STU0003,2024-03-20,login,20
STU0003,2024-02-28,quiz_attempt,37
STU0003,2024-01-04,video_watched,2
STU0003,2024-01-17,forum_post,2
STU0003,2024-05-22,login,4
STU0003,2024-01-12,forum_post,11
STU0003,2024-04-09,login,1
STU0003,2024-03-21,quiz_attempt,9
STU0003,2024-03-21,forum_post,13
STU0003,2024-05-16,quiz_attempt,2
STU0003,2024-05-06,quiz_attempt,7
STU0003,2024-02-05,submission,25
STU0003,2024-01-29,quiz_attempt,58
STU0003,2024-04-10,login,55
STU0003,2024-01-11,forum_post,22
STU0003,2024-03-20,login,3
STU0003,2024-03-18,quiz_attempt,6
STU0003,2024-02-26,submission,4
STU0003,2024-04-30,video_watched,2
STU0003,2024-05-16,quiz_attempt,43
STU0003,2024-02-20,forum_post,10
STU0003,2024-04-16,forum_post,17
STU0003,2024-05-29,login,1
STU0003,2024-01-26,quiz_attempt,13
STU0003,2024-01-09,login,30
STU0003,2024-02-23,forum_post,107
STU0003,2024-05-03,login,65
STU0003,2024-01-05,login,26
STU0003,2024-01-23,quiz_attempt,13
STU0003,2024-03-11,video_watched,26
STU0003,2024-05-07,login,2
STU0003,2024-03-04,submission,1
STU0003,2024-03-05,login,35
STU0003,2024-01-01,login,3
STU0003,2024-04-10,video_watched,1
STU0003,2024-03-18,login,59
STU0003,2024-02-12,forum_post,7
STU0003,2024-01-11,video_watched,5
STU0003,2024-01-16,submission,1
STU0003,2024-01-09,video_watched,46
STU0003,2024-02-05,submission,20
STU0003,2024-02-14,video_watched,18
STU0003,2024-03-21,login,19
STU0003,2024-02-26,submission,96
STU0003,2024-01-04,video_watched,8
STU0003,2024-02-06,login,5
STU0003,2024-02-29,video_watched,9
STU0003,2024-03-29,quiz_attempt,42
STU0003,2024-04-16,submission,2
STU0003,2024-03-28,login,3
STU0003,2024-05-14,quiz_attempt,20
STU0003,2024-01-12,video_watched,80
STU0003,2024-02-08,submission,4
STU0003,2024-04-02,submission,19
STU0003,2024-04-15,quiz_attempt,1
STU0003,2024-04-05,submission,50
STU0003,2024-01-01,quiz_attempt,17
STU0003,2024-04-01,login,6
STU0003,2024-03-22,login,36
STU0003,2024-02-22,submission,30
STU0003,2024-04-29,submission,18
STU0003,2024-04-05,video_watched,9
STU0003,2024-04-02,submission,1
STU0003,2024-01-12,forum_post,84
STU0003,2024-01-16,login,34
STU0003,2024-05-06,login,3
STU0003,2024-04-04,submission,2
STU0003,2024-05-09,forum_post,45
STU0003,2024-04-17,submission,12
STU0003,2024-01-31,submission,1
STU0003,2024-05-10,login,28
STU0003,2024-05-06,video_watched,7
STU0003,2024-03-25,login,17
STU0003,2024-03-05,login,22
STU0003,2024-01-31,submission,19
STU0003,2024-01-08,quiz_attempt,9
STU0003,2024-02-07,quiz_attempt,11
STU0003,2024-01-09,video_watched,13
STU0003,2024-02-19,login,63
STU0003,2024-01-18,submission,5
STU0003,2024-02-28,forum_post,43
STU0003,2024-05-21,quiz_attempt,25
STU0003,2024-04-23,submission,20
STU0003,2024-05-08,submission,3
STU0003,2024-04-23,quiz_attempt,25
STU0003,2024-01-05,submission,5
STU0003,2024-01-15,video_watched,10
STU0003,2024-04-18,submission,32
STU0003,2024-03-21,login,18
STU0003,2024-03-11,forum_post,1
STU0003,2024-01-31,submission,22
STU0003,2024-02-22,quiz_attempt,26
STU0004,2024-04-24,quiz_attempt,72
STU0004,2024-05-22,login,12
STU0004,2024-03-26,quiz_attempt,58
STU0004,2024-05-22,submission,2
STU0004,2024-03-29,quiz_attempt,19
STU0004,2024-03-28,login,2
STU0004,2024-05-02,submission,32
STU0004,2024-03-11,submission,10
STU0004,2024-04-16,video_watched,6
STU0004,2024-02-16,forum_post,20
STU0004,2024-01-30,video_watched,80
STU0004,2024-03-25,login,7
STU0004,2024-05-17,video_watched,5
STU0004,2024-04-25,login,35
STU0004,2024-05-03,login,69
STU0004,2024-02-26,login,61
STU0004,2024-02-19,login,23
STU0004,2024-04-15,login,1
STU0004,2024-04-01,video_watched,9
STU0004,2024-01-24,login,12
STU0004,2024-05-28,submission,3
STU0004,2024-05-15,submission,8
STU0004,2024-05-27,login,30
STU0004,2024-04-12,quiz_attempt,79
STU0004,2024-02-01,forum_post,4
STU0004,2024-01-03,forum_post,18
STU0004,2024-03-20,quiz_attempt,1
STU0004,2024-01-30,submission,5
STU0004,2024-03-06,quiz_attempt,13
STU0004,2024-05-21,login,1
STU0004,2024-03-28,video_watched,9
STU0004,2024-03-18,login,11
STU0004,2024-03-22,login,55
STU0004,2024-04-09,submission,49
STU0004,2024-05-24,login,49
STU0004,2024-03-20,video_watched,2
STU0004,2024-03-26,video_watched,21
STU0004,2024-03-06,submission,7
STU0004,2024-02-26,submission,6
STU0004,2024-04-03,video_watched,9
STU0004,2024-05-09,submission,32
STU0004,2024-04-09,video_watched,7
STU0004,2024-01-17,login,13
STU0004,2024-02-01,login,5
STU0004,2024-03-26,submission,8
STU0004,2024-01-15,forum_post,2
STU0004,2024-05-09,submission,3
STU0004,2024-04-22,video_watched,36
STU0004,2024-02-27,quiz_attempt,5
STU0004,2024-04-02,submission,35
STU0004,2024-01-22,quiz_attempt,17
STU0004,2024-03-19,submission,3
STU0004,2024-04-15,submission,18
STU0004,2024-05-13,video_watched,1
STU0004,2024-02-08,forum_post,28
STU0004,2024-05-17,submission,10
STU0004,2024-04-19,submission,13
STU0004,2024-03-29,login,11
STU0004,2024-01-18,login,8
STU0004,2024-05-23,submission,26
STU0004,2024-01-23,video_watched,31
STU0004,2024-05-30,video_watched,5
STU0004,2024-05-30,quiz_attempt,1
STU0004,2024-01-12,login,1
STU0004,2024-04-10,forum_post,2
STU0004,2024-01-10,login,12
STU0004,2024-02-01,submission,18
STU0004,2024-02-05,login,21
STU0004,2024-05-07,submission,38
STU0004,2024-04-04,login,17
STU0004,2024-03-28,submission,22
STU0004,2024-04-15,quiz_attempt,2
STU0004,2024-05-17,submission,3
STU0004,2024-03-27,login,3
STU0004,2024-02-21,quiz_attempt,10
STU0004,2024-01-03,submission,60
