student_id,subject,exam_type,score,max_score,score_pct
STU0001,Math,quiz,67,100,67.0
STU0001,Math,midterm,61,100,61.0
STU0001,Math,final,71,100,71.0
STU0001,Physics,quiz,63,100,63.0
STU0001,Physics,midterm,59,100,59.0
STU0001,Physics,final,53,100,53.0
STU0001,Programming,quiz,72,100,72.0
STU0001,Programming,midterm,64,100,64.0
STU0001,Programming,final,66,100,66.0
STU0001,Data Structures,quiz,73,100,73.0
STU0001,Data Structures,midterm,60,100,60.0
STU0001,Data Structures,final,53,100,53.0
STU0001,English,quiz,65,100,65.0
STU0001,English,midterm,67,100,67.0
STU0001,English,final,62,100,62.0
STU0001,Statistics,quiz,76,100,76.0
STU0001,Statistics,midterm,44,100,44.0
STU0001,Statistics,final,73,100,73.0
STU0002,Math,quiz,100,100,100.0
STU0002,Math,midterm,100,100,100.0
STU0002,Math,final,73,100,73.0
STU0002,Physics,quiz,100,100,100.0
STU0002,Physics,midterm,91,100,91.0
STU0002,Physics,final,95,100,95.0
STU0002,Programming,quiz,98,100,98.0
STU0002,Programming,midterm,100,100,100.0
STU0002,Programming,final,100,100,100.0
STU0002,Data Structures,quiz,100,100,100.0
STU0002,Data Structures,midterm,100,100,100.0
STU0002,Data Structures,final,100,100,100.0
STU0002,English,quiz,100,100,100.0
STU0002,English,midterm,91,100,91.0
STU0002,English,final,93,100,93.0
STU0002,Statistics,quiz,100,100,100.0
STU0002,Statistics,midterm,100,100,100.0
STU0002,Statistics,final,100,100,100.0
STU0003,Math,quiz,67,100,67.0
STU0003,Math,midterm,78,100,78.0
STU0003,Math,final,62,100,62.0
STU0003,Physics,quiz,79,100,79.0
STU0003,Physics,midterm,69,100,69.0
STU0003,Physics,final,84,100,84.0
STU0003,Programming,quiz,59,100,59.0
STU0003,Programming,midterm,85,100,85.0
STU0003,Programming,final,68,100,68.0
STU0003,Data Structures,quiz,68,100,68.0
STU0003,Data Structures,midterm,72,100,72.0
STU0003,Data Structures,final,65,100,65.0
STU0003,English,quiz,70,100,70.0
STU0003,English,midterm,65,100,65.0
STU0003,English,final,65,100,65.0
STU0003,Statistics,quiz,75,100,75.0
STU0003,Statistics,midterm,64,100,64.0
STU0003,Statistics,final,65,100,65.0
STU0004,Math,quiz,61,100,61.0
STU0004,Math,midterm,68,100,68.0
STU0004,Math,final,83,100,83.0
STU0004,Physics,quiz,66,100,66.0
STU0004,Physics,midterm,67,100,67.0
STU0004,Physics,final,74,100,74.0
STU0004,Programming,quiz,69,100,69.0
STU0004,Programming,midterm,90,100,90.0
STU0004,Programming,final,71,100,71.0
STU0004,Data Structures,quiz,75,100,75.0
STU0004,Data Structures,midterm,80,100,80.0
STU0004,Data Structures,final,80,100,80.0
STU0004,English,quiz,74,100,74.0
STU0004,English,midterm,71,100,71.0
STU0004,English,final,89,100,89.0
STU0004,Statistics,quiz,72,100,72.0
STU0004,Statistics,midterm,69,100,69.0
STU0004,Statistics,final,67,100,67.0
STU0005,Math,quiz,74,100,74.0
STU0005,Math,midterm,95,100,95.0
STU0005,Math,final,69,100,69.0
STU0005,Physics,quiz,88,100,88.0
STU0005,Physics,midterm,86,100,86.0
STU0005,Physics,final,100,100,100.0
STU0005,Programming,quiz,73,100,73.0
STU0005,Programming,midterm,81,100,81.0
STU0005,Programming,final,87,100,87.0
STU0005,Data Structures,quiz,86,100,86.0
STU0005,Data Structures,midterm,84,100,84.0
STU0005,Data Structures,final,87,100,87.0
STU0005,English,quiz,78,100,78.0
STU0005,English,midterm,91,100,91.0
STU0005,English,final,69,100,69.0
STU0005,Statistics,quiz,88,100,88.0
STU0005,Statistics,midterm,83,100,83.0
STU0005,Statistics,final,96,100,96.0
STU0006,Math,quiz,100,100,100.0
STU0006,Math,midterm,93,100,93.0
STU0006,Math,final,100,100,100.0
STU0006,Physics,quiz,93,100,93.0
STU0006,Physics,midterm,88,100,88.0
STU0006,Physics,final,100,100,100.0
STU0006,Programming,quiz,100,100,100.0
STU0006,Programming,midterm,96,100,96.0
STU0006,Programming,final,100,100,100.0
STU0006,Data Structures,quiz,98,100,98.0
STU0006,Data Structures,midterm,95,100,95.0
STU0006,Data Structures,final,85,100,85.0
STU0006,English,quiz,94,100,94.0
STU0006,English,midterm,100,100,100.0
STU0006,English,final,95,100,95.0
STU0006,Statistics,quiz,100,100,100.0
STU0006,Statistics,midterm,99,100,99.0
STU0006,Statistics,final,89,100,89.0
STU0007,Math,quiz,55,100,55.0
STU0007,Math,midterm,64,100,64.0
STU0007,Math,final,61,100,61.0
STU0007,Physics,quiz,68,100,68.0
STU0007,Physics,midterm,59,100,59.0
STU0007,Physics,final,60,100,60.0
STU0007,Programming,quiz,74,100,74.0
STU0007,Programming,midterm,66,100,66.0
STU0007,Programming,final,60,100,60.0
STU0007,Data Structures,quiz,65,100,65.0
STU0007,Data Structures,midterm,76,100,76.0
STU0007,Data Structures,final,68,100,68.0
STU0007,English,quiz,70,100,70.0
STU0007,English,midterm,59,100,59.0
STU0007,English,final,73,100,73.0
STU0007,Statistics,quiz,84,100,84.0
STU0007,Statistics,midterm,59,100,59.0
STU0007,Statistics,final,56,100,56.0
STU0008,Math,quiz,68,100,68.0
STU0008,Math,midterm,74,100,74.0
STU0008,Math,final,66,100,66.0
STU0008,Physics,quiz,58,100,58.0
STU0008,Physics,midterm,66,100,66.0
STU0008,Physics,final,72,100,72.0
STU0008,Programming,quiz,64,100,64.0
STU0008,Programming,midterm,72,100,72.0
STU0008,Programming,final,76,100,76.0
STU0008,Data Structures,quiz,69,100,69.0
STU0008,Data Structures,midterm,67,100,67.0
STU0008,Data Structures,final,73,100,73.0
STU0008,English,quiz,60,100,60.0
STU0008,English,midterm,59,100,59.0
STU0008,English,final,65,100,65.0
STU0008,Statistics,quiz,63,100,63.0
STU0008,Statistics,midterm,60,100,60.0
STU0008,Statistics,final,81,100,81.0
STU0009,Math,quiz,89,100,89.0
STU0009,Math,midterm,68,100,68.0
STU0009,Math,final,72,100,72.0
STU0009,Physics,quiz,70,100,70.0
STU0009,Physics,midterm,80,100,80.0
STU0009,Physics,final,82,100,82.0
STU0009,Programming,quiz,57,100,57.0
STU0009,Programming,midterm,75,100,75.0
STU0009,Programming,final,61,100,61.0
STU0009,Data Structures,quiz,85,100,85.0
STU0009,Data Structures,midterm,75,100,75.0
STU0009,Data Structures,final,65,100,65.0
STU0009,English,quiz,69,100,69.0
STU0009,English,midterm,69,100,69.0
STU0009,English,final,75,100,75.0
STU0009,Statistics,quiz,80,100,80.0
STU0009,Statistics,midterm,62,100,62.0
STU0009,Statistics,final,86,100,86.0
STU0010,Math,quiz,64,100,64.0
STU0010,Math,midterm,44,100,44.0
STU0010,Math,final,51,100,51.0
STU0010,Physics,quiz,65,100,65.0
STU0010,Physics,midterm,61,100,61.0
STU0010,Physics,final,48,100,48.0
STU0010,Programming,quiz,57,100,57.0
STU0010,Programming,midterm,75,100,75.0
STU0010,Programming,final,52,100,52.0
STU0010,Data Structures,quiz,46,100,46.0
STU0010,Data Structures,midterm,52,100,52.0
STU0010,Data Structures,final,53,100,53.0
STU0010,English,quiz,47,100,47.0
STU0010,English,midterm,54,100,54.0
STU0010,English,final,41,100,41.0
STU0010,Statistics,quiz,46,100,46.0
STU0010,Statistics,midterm,57,100,57.0
STU0010,Statistics,final,37,100,37.0
STU0011,Math,quiz,100,100,100.0
STU0011,Math,midterm,83,100,83.0
STU0011,Math,final,85,100,85.0
STU0011,Physics,quiz,95,100,95.0
STU0011,Physics,midterm,100,100,100.0
STU0011,Physics,final,100,100,100.0
STU0011,Programming,quiz,99,100,99.0
STU0011,Programming,midterm,97,100,97.0
STU0011,Programming,final,100,100,100.0
STU0011,Data Structures,quiz,92,100,92.0
STU0011,Data Structures,midterm,100,100,100.0
STU0011,Data Structures,final,89,100,89.0
STU0011,English,quiz,100,100,100.0
STU0011,English,midterm,98,100,98.0
STU0011,English,final,92,100,92.0
STU0011,Statistics,quiz,100,100,100.0
STU0011,Statistics,midterm,100,100,100.0
STU0011,Statistics,final,100,100,100.0
STU0012,Math,quiz,84,100,84.0
STU0012,Math,midterm,96,100,96.0
STU0012,Math,final,91,100,91.0
STU0012,Physics,quiz,100,100,100.0
STU0012,Physics,midterm,100,100,100.0
STU0012,Physics,final,100,100,100.0
STU0012,Programming,quiz,91,100,91.0
STU0012,Programming,midterm,100,100,100.0
STU0012,Programming,final,85,100,85.0
STU0012,Data Structures,quiz,83,100,83.0
STU0012,Data Structures,midterm,87,100,87.0
STU0012,Data Structures,final,96,100,96.0
STU0012,English,quiz,100,100,100.0
STU0012,English,midterm,73,100,73.0
STU0012,English,final,100,100,100.0
STU0012,Statistics,quiz,98,100,98.0
STU0012,Statistics,midterm,84,100,84.0
STU0012,Statistics,final,98,100,98.0
STU0013,Math,quiz,48,100,48.0
STU0013,Math,midterm,44,100,44.0
STU0013,Math,final,48,100,48.0
STU0013,Physics,quiz,28,100,28.0
STU0013,Physics,midterm,36,100,36.0
STU0013,Physics,final,32,100,32.0
STU0013,Programming,quiz,53,100,53.0
STU0013,Programming,midterm,44,100,44.0
STU0013,Programming,final,62,100,62.0
STU0013,Data Structures,quiz,36,100,36.0
STU0013,Data Structures,midterm,34,100,34.0
STU0013,Data Structures,final,38,100,38.0
STU0013,English,quiz,50,100,50.0
STU0013,English,midterm,36,100,36.0
STU0013,English,final,40,100,40.0
STU0013,Statistics,quiz,40,100,40.0
STU0013,Statistics,midterm,40,100,40.0
STU0013,Statistics,final,34,100,34.0
STU0014,Math,quiz,75,100,75.0
STU0014,Math,midterm,75,100,75.0
STU0014,Math,final,76,100,76.0
STU0014,Physics,quiz,84,100,84.0
STU0014,Physics,midterm,90,100,90.0
STU0014,Physics,final,69,100,69.0
STU0014,Programming,quiz,73,100,73.0
STU0014,Programming,midterm,70,100,70.0
STU0014,Programming,final,78,100,78.0
STU0014,Data Structures,quiz,72,100,72.0
STU0014,Data Structures,midterm,78,100,78.0
STU0014,Data Structures,final,85,100,85.0
STU0014,English,quiz,56,100,56.0
STU0014,English,midterm,80,100,80.0
STU0014,English,final,72,100,72.0
STU0014,Statistics,quiz,80,100,80.0
STU0014,Statistics,midterm,69,100,69.0
STU0014,Statistics,final,86,100,86.0
STU0015,Math,quiz,71,100,71.0
STU0015,Math,midterm,68,100,68.0
STU0015,Math,final,70,100,70.0
STU0015,Physics,quiz,57,100,57.0
STU0015,Physics,midterm,58,100,58.0
STU0015,Physics,final,69,100,69.0
STU0015,Programming,quiz,57,100,57.0
STU0015,Programming,midterm,75,100,75.0
STU0015,Programming,final,61,100,61.0
STU0015,Data Structures,quiz,67,100,67.0
STU0015,Data Structures,midterm,80,100,80.0
STU0015,Data Structures,final,58,100,58.0
STU0015,English,quiz,64,100,64.0
STU0015,English,midterm,72,100,72.0
STU0015,English,final,71,100,71.0
STU0015,Statistics,quiz,61,100,61.0
STU0015,Statistics,midterm,59,100,59.0
STU0015,Statistics,final,62,100,62.0
STU0016,Math,quiz,95,100,95.0
STU0016,Math,midterm,82,100,82.0
STU0016,Math,final,84,100,84.0
STU0016,Physics,quiz,80,100,80.0
STU0016,Physics,midterm,90,100,90.0
STU0016,Physics,final,85,100,85.0
STU0016,Programming,quiz,76,100,76.0
STU0016,Programming,midterm,76,100,76.0
STU0016,Programming,final,68,100,68.0
STU0016,Data Structures,quiz,77,100,77.0
STU0016,Data Structures,midterm,90,100,90.0
STU0016,Data Structures,final,94,100,94.0
STU0016,English,quiz,89,100,89.0
STU0016,English,midterm,88,100,88.0
STU0016,English,final,83,100,83.0
STU0016,Statistics,quiz,90,100,90.0
STU0016,Statistics,midterm,86,100,86.0
STU0016,Statistics,final,98,100,98.0
STU0017,Math,quiz,77,100,77.0
STU0017,Math,midterm,88,100,88.0
STU0017,Math,final,85,100,85.0
STU0017,Physics,quiz,84,100,84.0
STU0017,Physics,midterm,62,100,62.0
STU0017,Physics,final,85,100,85.0
STU0017,Programming,quiz,77,100,77.0
STU0017,Programming,midterm,74,100,74.0
STU0017,Programming,final,66,100,66.0
STU0017,Data Structures,quiz,78,100,78.0
STU0017,Data Structures,midterm,78,100,78.0
STU0017,Data Structures,final,67,100,67.0
STU0017,English,quiz,66,100,66.0
STU0017,English,midterm,82,100,82.0
STU0017,English,final,85,100,85.0
STU0017,Statistics,quiz,79,100,79.0
STU0017,Statistics,midterm,87,100,87.0
STU0017,Statistics,final,77,100,77.0
STU0018,Math,quiz,80,100,80.0
STU0018,Math,midterm,73,100,73.0
STU0018,Math,final,68,100,68.0
STU0018,Physics,quiz,96,100,96.0
STU0018,Physics,midterm,90,100,90.0
STU0018,Physics,final,70,100,70.0
STU0018,Programming,quiz,82,100,82.0
STU0018,Programming,midterm,80,100,80.0
STU0018,Programming,final,79,100,79.0
STU0018,Data Structures,quiz,78,100,78.0
STU0018,Data Structures,midterm,84,100,84.0
STU0018,Data Structures,final,87,100,87.0
STU0018,English,quiz,84,100,84.0
STU0018,English,midterm,80,100,80.0
STU0018,English,final,80,100,80.0
STU0018,Statistics,quiz,88,100,88.0
STU0018,Statistics,midterm,84,100,84.0
STU0018,Statistics,final,81,100,81.0
STU0019,Math,quiz,94,100,94.0
STU0019,Math,midterm,98,100,98.0
STU0019,Math,final,91,100,91.0
STU0019,Physics,quiz,100,100,100.0
STU0019,Physics,midterm,86,100,86.0
STU0019,Physics,final,91,100,91.0
STU0019,Programming,quiz,100,100,100.0
STU0019,Programming,midterm,86,100,86.0
STU0019,Programming,final,82,100,82.0
STU0019,Data Structures,quiz,95,100,95.0
STU0019,Data Structures,midterm,81,100,81.0
STU0019,Data Structures,final,84,100,84.0
STU0019,English,quiz,100,100,100.0
STU0019,English,midterm,93,100,93.0
STU0019,English,final,100,100,100.0
STU0019,Statistics,quiz,85,100,85.0
STU0019,Statistics,midterm,94,100,94.0
STU0019,Statistics,final,98,100,98.0
STU0020,Math,quiz,50,100,50.0
STU0020,Math,midterm,68,100,68.0
STU0020,Math,final,64,100,64.0
STU0020,Physics,quiz,47,100,47.0
STU0020,Physics,midterm,59,100,59.0
STU0020,Physics,final,63,100,63.0
STU0020,Programming,quiz,55,100,55.0
STU0020,Programming,midterm,48,100,48.0
